"tx_merchant_clean","month_number","year(Post_date)","key","value"
"ARABIAN AUTOMOBILES CO",10,2013,"Sum",378319.45
"ARABIAN AUTOMOBILES CO",11,2013,"Sum",417139.71
"ARABIAN AUTOMOBILES CO",12,2013,"Sum",406231.45
"ARABIAN AUTOMOBILESCO",1,2014,"Sum",539478.7
"ARABIAN AUTOMOBILESCO",2,2014,"Sum",542575.97
"ARABIAN AUTOMOBILESCO",3,2014,"Sum",335023.27
"ARABIAN AUTOMOBILESCO",4,2014,"Sum",337796.52
"ARABIAN AUTOMOBILESCO",5,2014,"Sum",427902.15
"ARABIAN AUTOMOBILESCO",6,2014,"Sum",394272.9
"ARABIAN AUTOMOBILESCO",7,2014,"Sum",588601.14
"ARABIAN AUTOMOBILESCO",8,2014,"Sum",301967.4
"ARABIAN AUTOMOBILESCO",9,2013,"Sum",381190.85
"ARABIAN AUTOMOBILESCO",10,2013,"Sum",278691.45
"ARABIAN AUTOMOBILESCO",11,2013,"Sum",276554
"ARABIAN AUTOMOBILESCO",12,2013,"Sum",553091.78
"ARABIAN GULF MEC CNT.S",1,2014,"Sum",1256535.18
"ARABIAN GULF MEC CNT.S",2,2014,"Sum",1279119.26
"ARABIAN GULF MEC CNT.S",3,2014,"Sum",1093251.39
"ARABIAN GULF MEC CNT.S",4,2014,"Sum",1106690.41
"ARABIAN GULF MEC CNT.S",5,2014,"Sum",765550.42
"ARABIAN GULF MEC CNT.S",6,2014,"Sum",928757.45
"ARABIAN GULF MEC CNT.S",7,2014,"Sum",2185691.6
"ARABIAN GULF MEC CNT.S",8,2014,"Sum",1234214.8
"ARABIAN GULF MEC CNT.S",9,2013,"Sum",775175.41
"ARABIAN GULF MEC CNT.S",10,2013,"Sum",1469178.79
"ARABIAN GULF MEC CNT.S",11,2013,"Sum",1009999.72
"ARABIAN GULF MEC CNT.S",12,2013,"Sum",1304148.98
"ATLANTIS",1,2014,"Sum",955865.99
"ATLANTIS",2,2014,"Sum",733695.98
"ATLANTIS",3,2014,"Sum",1039250.51
"ATLANTIS",4,2014,"Sum",1214284.13
"ATLANTIS",5,2014,"Sum",1210307.26
"ATLANTIS",6,2014,"Sum",847744.33
"ATLANTIS",7,2014,"Sum",979402.09
"ATLANTIS",8,2014,"Sum",1082514.59
"ATLANTIS",9,2013,"Sum",789491
"ATLANTIS",10,2013,"Sum",1146651.12
"ATLANTIS",11,2013,"Sum",1119946.33
"ATLANTIS",12,2013,"Sum",1163450.76
"AXA INSURANCE",1,2014,"Sum",723031.61
"AXA INSURANCE",2,2014,"Sum",636532
"AXA INSURANCE",3,2014,"Sum",681613.12
"AXA INSURANCE",4,2014,"Sum",677872.75
"AXA INSURANCE",5,2014,"Sum",710107.47
"AXA INSURANCE",6,2014,"Sum",658842.2
"AXA INSURANCE",7,2014,"Sum",511546.02
"AXA INSURANCE",8,2014,"Sum",648913
"AXA INSURANCE",9,2013,"Sum",608512.84
"AXA INSURANCE",10,2013,"Sum",617872.64
"AXA INSURANCE",11,2013,"Sum",649629
"AXA INSURANCE",12,2013,"Sum",579816.99
"BARRACUDA BEACH RESORT",1,2014,"Sum",350739
"BARRACUDA BEACH RESORT",2,2014,"Sum",407637
"BARRACUDA BEACH RESORT",3,2014,"Sum",396552
"BARRACUDA BEACH RESORT",4,2014,"Sum",406218
"BARRACUDA BEACH RESORT",5,2014,"Sum",452379
"BARRACUDA BEACH RESORT",6,2014,"Sum",580413
"BARRACUDA BEACH RESORT",7,2014,"Sum",69298
"BARRACUDA BEACH RESORT",8,2014,"Sum",421030
"BARRACUDA BEACH RESORT",9,2013,"Sum",322993.5
"BARRACUDA BEACH RESORT",10,2013,"Sum",465426
"BARRACUDA BEACH RESORT",11,2013,"Sum",425907
"BARRACUDA BEACH RESORT",12,2013,"Sum",635565
"BLOOMINGDALES BR-NOUL",1,2014,"Sum",1050940.5
"BLOOMINGDALES BR-NOUL",2,2014,"Sum",514738.2
